STATION_ID,variable,min,mean,median,max
8-TRY001.39,SECCHI_DEPTH,0.3,0.5733333333333334,0.5,1
9-NEW087.14,SECCHI_DEPTH,0.3,2.1511811023622047,2.1,4.1
9-NEW089.34,SECCHI_DEPTH,0.3,2.0795275590551183,2,3.4
9-NEW092.66,SECCHI_DEPTH,0.3,1.9854961832061069,2,3.5
9-NEW098.32,SECCHI_DEPTH,0.1,1.3916030534351145,1.4,2.7
9-PKC000.00,SECCHI_DEPTH,0.3,1.9361538461538461,2,3.7
9-PKC004.16,SECCHI_DEPTH,0.5,1.5485074626865671,1.5,3.9
9-PKC016.91,SECCHI_DEPTH,0.9,2.8772727272727274,2.8499999999999996,5.8
9-PKC017.71,SECCHI_DEPTH,0.8,2.6227272727272726,2.6500000000000004,5.8
9-XBL000.20,SECCHI_DEPTH,0.9,1.559090909090909,1.6,2.4
1AAUA012.15,CHLa,1.58,3.437777777777778,3.06,11
1ALOH007.93,CHLa,2.325,20.698815789473684,11.965,109.29
1APOM013.02,CHLa,0.96,6.526969696969697,5.34,19.5
1BCLS003.60,CHLa,0.23,0.795,0.72,2.88
1BCNG003.13,CHLa,0.5,7.22515873015873,5.734999999999999,20.6
1BCRO009.19,CHLa,0.5,4.631585365853659,3.4,44.13
1BCRO009.79,CHLa,0.52,4.797439024390244,3.79,41.62
1BNTH043.48,CHLa,0.32,2.2477142857142858,1.74,7.49
1BNTH045.36,CHLa,0.5,2.079833333333333,1.56,6.68
1BSKD003.18,CHLa,0.5,2.4673170731707317,2.15,8.92
1BSTY023.05,CHLa,0.62,7.36,3.19,33.4
1BXCE000.63,CHLa,1.34,7.218048780487805,4.88,127.27
1BXEF000.23,CHLa,0.5,4.1659770114942525,2.78,19.7
2-APP020.23,CHLa,2.72,13.848333333333333,12.47,35.9
2-APP023.27,CHLa,4.75,16.800192307692306,15.55,37.1
2-APP026.67,CHLa,3.92,18.327450980392157,16.8,38.1
2-APP028.58,CHLa,4.7,19.094594594594597,19.02,35.9
2-BRI010.78,CHLa,1.13,6.665320512820513,6.62,16.09
2-BRI013.12,CHLa,0.86,8.661858974358974,7.795,28.6
2-BVR002.19,CHLa,1.03,7.099047619047619,5.41,20.59
2-CFK004.34,CHLa,6.12,34.93723404255319,30,89.6
2-CHK025.15,CHLa,0.87,18.690416666666668,16.33,51.1
2-CHK026.94,CHLa,0.66,13.860833333333334,10.649999999999999,42.9
2-CHK029.54,CHLa,0.5,8.390092592592593,3.7249999999999996,67.05
2-DSC005.91,CHLa,0.5,13.026074074074074,10.1,42.7
2-DSC007.09,CHLa,0.61,14.976136363636364,14.15,36.9
2-DYC000.19,CHLa,2.44,12.683095238095238,11.899999999999999,34.06
2-FAC003.85,CHLa,4.02,21.33586206896552,19.6,67.6
2-HOL001.05,CHLa,0.64,8.138761904761905,6.39,21.1
2-JCB000.80,CHLa,0.82,6.825238095238095,4.965,28.1
2-JKS044.60,CHLa,0.53,2.6207142857142856,2.045,27.9
2-JKS046.40,CHLa,0.52,2.943857142857143,2.04,35.3
2-JKS048.90,CHLa,0.87,3.052753623188406,2.35,9.95
2-JKS053.48,CHLa,0.5,7.334761904761905,7.16,20.36
