Variable,STATION_ID,Month,Mean,Min,Max,Nobs
SECCHI_DEPTH,9-NEW092.66,6,1.882608695652174,1.2,2.7,34
SECCHI_DEPTH,9-NEW092.66,7,1.8478260869565217,1.3,2.8,33
SECCHI_DEPTH,9-NEW092.66,8,1.8884615384615384,0.8,2.7,38
SECCHI_DEPTH,9-NEW092.66,9,2.2894736842105265,1.5,3.5,29
SECCHI_DEPTH,9-NEW092.66,10,2.323809523809524,0.3,3.5,32
SECCHI_DEPTH,9-NEW098.32,5,1,0.4,1.6,62
SECCHI_DEPTH,9-NEW098.32,6,1.1590909090909092,0.5,2,60
SECCHI_DEPTH,9-NEW098.32,7,1.5291666666666668,0.9,2.2,65
SECCHI_DEPTH,9-NEW098.32,8,1.552,0.8,2.2,59
SECCHI_DEPTH,9-NEW098.32,9,1.4666666666666666,0.6,2.3,58
SECCHI_DEPTH,9-NEW098.32,10,1.6285714285714286,0.1,2.7,59
SECCHI_DEPTH,9-PKC000.00,5,1.8590909090909091,1,2.4,27
SECCHI_DEPTH,9-PKC000.00,6,1.723809523809524,1.2,2.1,31
SECCHI_DEPTH,9-PKC000.00,7,1.85,1.3,3.1,29
SECCHI_DEPTH,9-PKC000.00,8,1.82,0.7,2.9,32
SECCHI_DEPTH,9-PKC000.00,9,2.142857142857143,1.3,3.7,24
SECCHI_DEPTH,9-PKC000.00,10,2.2666666666666666,0.3,3.4,28
SECCHI_DEPTH,9-PKC004.16,5,1.5043478260869565,1,2,27
SECCHI_DEPTH,9-PKC004.16,6,1.5434782608695652,0.5,2.6,29
